"StichtagDatJahr","Vorname","SexLang","AnzGebuWir"
1993,"Abarna","weiblich",1
1993,"Abetare","weiblich",1
1993,"Abir","weiblich",1
1993,"Abirami","weiblich",1
1993,"Adelaide","weiblich",1
1993,"Adelina","weiblich",1
1993,"Adina","weiblich",1
1993,"Admira","weiblich",1
1993,"Adriana","weiblich",1
1993,"Afsane","weiblich",1
1993,"Aida","weiblich",2
1993,"Aileen","weiblich",1
1993,"Airê","weiblich",1
1993,"Aisha","weiblich",1
1993,"Ajantha","weiblich",1
1993,"Ajanthan","weiblich",1
1993,"Ajne","weiblich",1
1993,"Alara","weiblich",1
1993,"Alba","weiblich",1
1993,"Albana","weiblich",1
1993,"Albineta","weiblich",1
1993,"Albulena","weiblich",1
1993,"Aleksandra","weiblich",4
1993,"Alena","weiblich",2
1993,"Alessa","weiblich",1
1993,"Alessandra","weiblich",4
1993,"Alessia","weiblich",2
1993,"Alexandra","weiblich",10
1993,"Alice","weiblich",7
1993,"Alicia","weiblich",1
1993,"Alida","weiblich",1
1993,"Alina","weiblich",2
1993,"Aline","weiblich",5
1993,"Alix","weiblich",2
1993,"Almedina","weiblich",2
1993,"Almira","weiblich",1
1993,"Amanda","weiblich",1
1993,"Ambra","weiblich",1
1993,"Amelie","weiblich",1
1993,"Amelita","weiblich",1
1993,"Amina","weiblich",2
1993,"Amna","weiblich",1
1993,"Ana","weiblich",4
1993,"Ana Maria","weiblich",1
1993,"Anais","weiblich",1
1993,"Anaîs","weiblich",1
1993,"Anaïs","weiblich",1
1993,"Andela","weiblich",1
1993,"Andjela","weiblich",1
1993,"Andrea","weiblich",8
1993,"Andreia","weiblich",1
1993,"Andriana","weiblich",1
1993,"Andrijana","weiblich",2
1993,"Andrina","weiblich",1
1993,"Angel","weiblich",1
1993,"Angela","weiblich",6
1993,"Angelika","weiblich",1
1993,"Anica","weiblich",1
1993,"Anika","weiblich",1
1993,"Anina","weiblich",3
1993,"Anita","weiblich",2
1993,"Anja","weiblich",8
1993,"Anjushka","weiblich",1
1993,"Anka","weiblich",1
1993,"Ann","weiblich",1
1993,"Anna","weiblich",20
1993,"Anna Maria","weiblich",2
1993,"Anna-Lena","weiblich",1
1993,"Anna-Marina","weiblich",1
1993,"Annabelle","weiblich",1
1993,"Annalena","weiblich",1
1993,"Anne","weiblich",2
1993,"Anne-Joséphine","weiblich",1
1993,"Anne-Sophie","weiblich",1
1993,"Anneliese","weiblich",1
1993,"Annette","weiblich",1
1993,"Annika","weiblich",2
1993,"Annikka","weiblich",1
1993,"Annina","weiblich",5
1993,"Anouk","weiblich",1
1993,"Antea","weiblich",1
1993,"Anthea","weiblich",1
1993,"Antonija","weiblich",1
1993,"Anuschija","weiblich",1
1993,"Apila","weiblich",1
1993,"Arabi","weiblich",1
1993,"Ardiana","weiblich",1
1993,"Ariana","weiblich",1
1993,"Ariane","weiblich",1
1993,"Arianna","weiblich",3
1993,"Armanda","weiblich",1
1993,"Arna","weiblich",1
1993,"Asha","weiblich",1
1993,"Assia","weiblich",1
1993,"Asviga","weiblich",1
1993,"Athéna","weiblich",1
1993,"Audrey","weiblich",1
1993,"Augusta","weiblich",1
1993,"Aurelia","weiblich",1
1993,"Aveline","weiblich",1
1993,"Awa","weiblich",1
1993,"Ayako","weiblich",1
